dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1606266000,4,283.72,0.0,1.1,48.64,0.32,36.48,78.5,1.43
1606269600,4,267.03,0.0,0.85,50.07,0.25,37.65,80.97,1.35
1606273200,4,257.02,0.0,0.7,50.07,0.21,37.93,80.47,1.28
1606276800,4,250.34,0.0,0.63,49.35,0.21,38.26,80.69,1.28
1606280400,4,250.34,0.0,0.62,48.64,0.24,39.3,83.76,1.36
1606284000,4,263.69,0.01,0.79,47.21,0.34,40.85,89.26,1.58
1606287600,4,290.39,0.12,0.89,46.49,0.52,42.93,95.88,1.96
1606291200,5,297.07,0.15,0.75,49.35,0.58,44.75,101.65,2.0
1606294800,5,277.04,0.12,0.51,53.64,0.5,46.33,110.5,1.65
1606298400,5,216.96,0.04,0.18,58.65,0.21,47.46,119.0,0.76
1606302000,5,206.95,0.03,0.13,58.65,0.16,46.51,116.74,0.65
1606305600,5,201.94,0.03,0.11,58.65,0.14,46.21,116.23,0.6
1606309200,4,200.27,0.02,0.1,60.8,0.11,41.12,99.8,0.5
1606312800,4,201.94,0.03,0.13,62.23,0.11,38.84,92.4,0.51
1606316400,4,205.28,0.03,0.19,62.23,0.13,37.73,88.53,0.55
1606320000,4,253.68,0.1,1.95,55.08,0.51,39.02,87.06,1.58
1606323600,4,340.46,0.01,4.8,43.27,1.06,41.66,89.24,2.82
1606327200,4,397.21,0.0,5.91,35.05,1.37,43.72,92.35,3.48
1606330800,4,453.95,0.0,6.0,30.4,1.61,46.1,96.13,4.12
1606334400,4,427.25,0.0,4.37,28.61,1.37,45.14,94.0,3.52
1606338000,4,357.15,0.0,2.55,28.97,0.98,42.88,89.41,2.76
1606341600,4,330.45,0.0,1.99,32.19,0.79,42.18,87.56,2.41
1606345200,4,340.46,0.0,2.16,35.05,0.72,42.9,86.54,2.15
1606348800,4,323.77,0.0,1.71,39.7,0.62,43.82,87.61,1.95
1606352400,4,280.38,0.0,0.91,47.21,0.51,45.08,95.7,1.81
1606356000,4,263.69,0.0,0.73,48.64,0.51,46.32,97.42,1.66
1606359600,4,257.02,0.0,0.66,50.07,0.51,46.87,97.69,1.55
1606363200,4,250.34,0.0,0.6,51.5,0.48,46.66,98.64,1.44
1606366800,5,240.33,0.0,0.55,53.64,0.44,45.41,100.07,1.33
1606370400,5,233.65,0.01,0.63,55.79,0.43,44.68,102.75,1.33
1606374000,5,236.99,0.07,0.71,57.22,0.48,43.26,104.76,1.49
1606377600,5,230.31,0.1,0.58,60.8,0.47,41.25,103.67,1.46
1606381200,5,213.62,0.08,0.39,65.8,0.37,38.58,100.14,1.17
1606384800,4,185.25,0.04,0.16,70.81,0.18,35.78,88.74,0.59
1606388400,4,181.91,0.03,0.13,70.1,0.15,35.76,86.67,0.52
1606392000,4,178.58,0.02,0.11,68.67,0.13,36.48,88.62,0.48
1606395600,4,183.58,0.02,0.1,67.95,0.1,36.75,86.9,0.42
1606399200,4,186.92,0.02,0.12,67.23,0.11,37.2,86.89,0.45
1606402800,4,190.26,0.02,0.16,67.23,0.12,37.77,87.98,0.48
1606406400,4,220.3,0.06,1.13,60.8,0.32,39.05,88.38,1.12
1606410000,4,260.35,0.01,2.4,52.21,0.58,40.76,89.88,1.85
1606413600,4,283.72,0.0,2.46,46.49,0.69,42.03,92.12,2.19
1606417200,4,313.76,0.0,2.36,43.27,0.86,43.61,94.91,2.66
1606420800,4,320.44,0.0,1.95,42.56,0.89,44.56,96.02,2.63
1606424400,4,310.42,0.0,1.67,45.06,0.82,45.38,97.72,2.41
1606428000,4,287.06,0.0,1.39,48.64,0.68,45.72,98.87,2.09
1606431600,4,270.37,0.0,1.14,49.35,0.6,45.32,95.23,1.87
1606435200,4,253.68,0.0,0.84,50.78,0.57,43.43,90.82,1.73
1606438800,4,243.66,0.0,0.66,53.64,0.54,42.05,91.36,1.57
1606442400,4,236.99,0.0,0.61,54.36,0.52,42.31,98.87,1.46
1606446000,5,230.31,0.0,0.57,54.36,0.5,44.14,114.51,1.36
1606449600,5,220.3,0.0,0.53,54.36,0.47,47.32,133.33,1.28
1606453200,5,213.62,0.0,0.49,56.51,0.42,52.15,154.75,1.16
1606456800,5,208.62,0.01,0.55,57.94,0.4,58.47,176.98,1.14
1606460400,5,210.29,0.05,0.55,60.8,0.43,65.52,199.93,1.19
1606464000,5,210.29,0.07,0.43,63.66,0.43,73.29,224.56,1.2
1606467600,5,203.61,0.06,0.3,66.52,0.4,79.24,237.9,1.11
1606471200,5,190.26,0.04,0.17,70.81,0.25,66.49,182.56,0.73
1606474800,5,188.59,0.03,0.14,70.81,0.23,63.14,169.81,0.68
1606478400,5,188.59,0.03,0.13,70.1,0.21,66.13,179.29,0.67
1606482000,5,191.93,0.02,0.11,68.67,0.16,57.98,151.36,0.59
